=== CUDA TIME TOTAL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     723.023ms       177.60%     723.023ms      60.252ms            12  
                                          ProfilerStep*        41.97%        1.067s        69.61%        1.770s     147.471ms       0.000us         0.00%     179.526ms      14.961ms            12  
autograd::engine::evaluate_function: UpsampleLinear1...         0.01%     133.783us         0.04%     921.376us      38.391us       0.000us         0.00%     142.349ms       5.931ms            24  
                              UpsampleLinear1DBackward0         0.00%      87.282us         0.03%     787.593us      32.816us       0.000us         0.00%     142.349ms       5.931ms            24  
                       aten::upsample_linear1d_backward         0.01%     222.006us         0.03%     700.311us      29.180us     142.318ms        34.96%     142.349ms       5.931ms            24  
void at::native::(anonymous namespace)::upsample_lin...         0.00%       0.000us         0.00%       0.000us       0.000us     142.318ms        34.96%     142.318ms       5.930ms            24  
                                aten::upsample_linear1d         0.07%       1.725ms         0.09%       2.252ms      93.824us     116.429ms        28.60%     116.472ms       4.853ms            24  
void at::native::(anonymous namespace)::upsample_lin...         0.00%       0.000us         0.00%       0.000us       0.000us     116.429ms        28.60%     116.429ms       4.851ms            24  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      87.364ms        21.46%      87.364ms       7.280ms            12  
                                               aten::mm         2.81%      71.391ms         4.53%     115.266ms      31.806us      30.863ms         7.58%      31.179ms       8.604us          3624  
    autograd::engine::evaluate_function: AddmmBackward0         0.81%      20.683ms         6.54%     166.191ms     133.166us       0.000us         0.00%      29.942ms      23.992us          1248  
                                           aten::linear         0.41%      10.467ms         4.93%     125.391ms      75.719us       0.000us         0.00%      26.944ms      16.270us          1656  
                                         AddmmBackward0         0.53%      13.496ms         4.30%     109.199ms      87.499us       0.000us         0.00%      23.414ms      18.761us          1248  
                                            aten::addmm         1.58%      40.261ms         2.15%      54.684ms      43.817us      22.893ms         5.62%      22.893ms      18.344us          1248  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      10.704ms         2.63%      10.704ms      16.519us           648  
                                              aten::sum         1.29%      32.683ms         2.11%      53.714ms      26.486us      10.142ms         2.49%      10.247ms       5.053us          2028  
autograd::engine::evaluate_function: NativeLayerNorm...         0.44%      11.243ms         2.44%      62.122ms      83.498us       0.000us         0.00%       8.882ms      11.938us           744  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       8.444ms         2.07%       8.444ms       5.063us          1668  
